age,workclass,education,educationno,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native,criminal
39,0,7,12,4,3,1,4,1,0,0,42.0,37,0
46,5,12,14,6,10,4,4,1,0,0,40.0,37,0
18,2,1,7,4,5,3,4,1,0,0,16.0,37,0
66,1,8,11,6,9,1,4,0,0,0,20.0,37,0
27,2,11,9,4,7,1,4,1,0,1980,40.0,37,0
28,5,11,9,2,10,0,4,1,0,0,40.0,37,0
51,2,15,10,2,11,0,4,1,0,1977,40.0,37,1
27,2,9,13,4,2,1,4,1,0,0,50.0,37,0
28,5,9,13,2,9,0,4,1,0,0,40.0,37,1
27,2,11,9,3,11,4,4,0,0,0,25.0,37,0
21,2,11,9,4,2,3,2,1,0,0,40.0,37,0
34,2,11,9,4,5,1,2,1,0,0,40.0,37,0
18,2,11,9,4,7,3,4,1,0,0,12.0,37,0
33,2,9,13,2,9,0,4,1,0,0,65.0,37,0
44,1,15,10,2,3,0,2,1,0,0,38.0,37,1
43,2,15,10,0,0,1,4,0,0,0,40.0,37,0
30,2,15,10,4,2,1,2,1,0,0,45.0,37,0
40,2,5,4,2,6,0,4,1,0,0,40.0,24,1
37,0,15,10,2,0,0,4,1,0,0,42.0,37,1
34,2,11,9,2,0,0,2,1,0,0,40.0,37,0
41,4,9,13,0,3,1,4,0,0,0,40.0,37,0
31,2,12,14,2,9,5,4,0,0,0,50.0,37,0
58,5,10,16,2,9,0,4,1,0,0,1.0,37,1
38,2,15,10,0,6,1,2,0,0,0,28.0,37,0
24,2,15,10,2,6,0,4,1,0,0,40.0,37,0
41,1,9,13,2,2,0,2,1,0,0,40.0,37,0
47,2,15,10,2,12,0,4,1,0,0,45.0,37,0
41,0,9,13,2,12,0,4,1,0,0,24.0,37,0
23,2,4,3,2,13,2,4,1,0,0,40.0,24,0
36,2,15,10,0,2,1,4,1,0,0,40.0,37,0
40,0,12,14,4,3,1,4,0,14084,0,55.0,37,1
35,2,12,14,2,9,2,4,1,7298,0,40.0,37,1
24,4,11,9,4,11,1,4,1,0,0,40.0,37,0
26,2,12,14,4,9,1,4,0,0,1876,40.0,37,0
51,2,9,13,2,3,0,4,1,0,0,50.0,37,1
42,1,15,10,4,9,1,4,0,0,1340,40.0,37,0
37,5,11,9,0,0,4,4,0,0,0,35.0,37,0
18,2,1,7,4,11,3,4,0,0,0,40.0,37,0
36,2,9,13,2,7,0,2,1,7298,0,36.0,37,1
35,2,11,9,0,2,1,4,1,0,0,40.0,37,0
58,3,11,9,2,11,5,4,0,15024,0,35.0,37,1
17,2,1,7,4,11,3,4,0,0,0,12.0,37,0
44,1,11,9,2,13,0,2,1,0,0,40.0,37,0
37,2,11,9,2,2,0,4,1,0,0,40.0,37,1
35,2,15,10,4,11,1,0,0,0,0,40.0,37,0
60,2,11,9,2,2,0,1,1,0,0,40.0,37,0
54,3,5,4,2,6,0,4,1,0,0,40.0,37,1
37,2,9,13,4,3,1,2,1,0,0,60.0,37,1
50,2,7,12,0,11,1,4,0,0,0,40.0,37,0
38,2,9,13,2,11,0,4,1,0,0,50.0,29,0
45,2,9,13,2,9,0,4,1,0,0,55.0,37,0
25,2,0,6,4,2,1,4,1,0,0,40.0,37,0
31,2,15,10,2,5,0,4,1,0,0,40.0,37,0
90,2,11,9,4,7,1,2,1,0,2206,40.0,37,0
54,2,11,9,2,0,0,2,1,0,0,20.0,37,0
53,1,13,1,4,6,1,4,1,0,0,35.0,37,0
18,2,11,9,4,11,3,4,0,0,0,40.0,37,0
66,4,11,9,2,4,0,4,1,1409,0,50.0,37,0
75,2,8,11,6,0,1,4,0,0,0,20.0,3,0
65,2,11,9,0,0,1,4,0,0,0,40.0,37,0
35,2,1,7,5,13,1,2,1,3674,0,40.0,37,0
41,2,11,9,0,11,4,2,0,0,0,38.0,37,0
25,2,15,10,4,0,1,4,1,0,0,42.0,37,0
33,2,15,10,0,2,2,3,0,0,0,40.0,37,0
28,2,14,15,4,9,1,4,1,0,0,55.0,37,1
59,5,11,9,2,7,0,4,1,0,0,40.0,37,0
40,5,15,10,4,0,1,4,0,0,0,38.0,37,0
41,2,9,13,2,3,0,4,1,0,0,50.0,18,1
38,1,12,14,2,3,0,4,1,0,0,70.0,37,1
23,2,11,9,4,13,3,4,1,0,0,40.0,37,0
40,2,9,13,2,9,0,4,1,0,0,40.0,37,1
41,4,11,9,2,7,5,4,0,0,0,20.0,37,0
24,5,7,12,2,10,0,4,1,0,0,50.0,37,0
38,2,15,10,0,2,1,4,1,0,1741,40.0,37,0
58,2,11,9,2,0,0,4,1,0,0,45.0,37,1
32,2,11,9,4,7,1,4,0,0,0,34.0,37,0
40,2,7,12,2,12,0,4,1,0,1977,60.0,37,1
41,2,14,15,2,9,5,4,0,0,0,40.0,37,1
42,2,9,13,2,0,5,2,0,0,0,40.0,37,0
59,1,0,6,6,7,4,2,0,0,0,30.0,37,0
19,1,15,10,4,0,3,4,1,0,0,40.0,37,0
58,2,15,10,4,13,1,4,1,0,0,20.0,37,0
42,4,11,9,2,4,0,1,1,0,0,40.0,0,1
20,2,11,9,4,7,3,4,0,0,0,40.0,37,0
32,2,11,9,5,7,1,4,0,0,0,30.0,37,0
45,2,8,11,6,3,1,4,0,0,0,45.0,37,0
50,2,5,4,0,2,1,4,1,0,0,40.0,37,0
36,2,9,13,0,9,3,4,0,0,0,40.0,37,0
45,2,11,9,2,11,0,4,1,0,0,60.0,37,0
17,2,1,7,4,7,3,4,1,0,0,12.0,37,0
59,2,15,10,2,11,0,4,1,4064,0,40.0,37,0
26,2,1,7,2,2,0,4,1,0,0,40.0,37,0
37,3,15,10,2,3,0,1,1,0,0,75.0,35,1
64,2,11,9,2,3,0,4,1,0,0,40.0,37,1
33,2,9,13,4,9,1,4,0,0,0,45.0,37,0
33,2,11,9,2,2,5,4,0,0,0,40.0,37,1
61,2,11,9,2,3,0,4,1,0,0,40.0,37,1
17,2,6,5,4,7,3,4,1,1055,0,24.0,37,0
50,4,12,14,2,4,0,4,1,2407,0,98.0,37,0
27,1,12,14,4,9,3,4,1,0,0,35.0,37,0
30,2,11,9,0,9,3,4,0,0,0,40.0,37,0
43,2,11,9,2,5,0,2,1,0,0,40.0,37,0
44,2,15,10,2,2,0,4,1,7298,0,40.0,37,1
35,2,15,10,4,3,1,4,0,0,0,40.0,37,0
25,2,15,10,4,12,3,4,0,0,0,40.0,37,0
24,2,15,10,2,6,5,4,0,7298,0,48.0,37,1
22,2,9,13,4,9,1,4,0,0,0,15.0,10,0
42,1,15,10,2,2,0,4,1,5178,0,40.0,37,1
34,2,7,12,0,11,4,2,0,0,0,45.0,37,0
60,2,9,13,0,9,1,4,0,0,0,42.0,37,0
21,2,11,9,4,5,3,4,1,0,0,40.0,37,0
57,0,12,14,2,11,0,4,1,15024,0,40.0,37,1
41,2,14,15,2,9,0,4,1,0,0,60.0,37,1
50,2,15,10,0,7,1,4,1,0,0,45.0,37,0
25,2,9,13,4,3,1,4,0,0,0,40.0,37,0
50,2,5,4,2,2,0,4,1,0,0,40.0,6,0
36,2,9,13,2,9,0,4,1,0,0,45.0,37,0
31,2,11,9,0,9,1,4,0,0,0,40.0,37,0
29,1,9,13,4,10,1,4,1,0,0,56.0,37,0
21,2,15,10,4,11,3,4,1,0,0,45.0,37,0
27,2,9,13,4,12,4,2,0,0,0,40.0,37,0
65,2,11,9,2,13,0,4,1,0,0,16.0,37,0
37,3,9,13,0,11,1,4,0,0,0,60.0,37,0
24,2,11,9,4,2,3,4,1,0,0,40.0,37,0
38,2,11,9,0,11,1,4,1,0,0,80.0,37,0
48,2,9,13,2,0,0,4,1,7688,0,40.0,37,1
21,2,15,10,4,7,1,1,0,0,0,25.0,37,0
31,2,11,9,2,13,0,4,1,0,0,45.0,37,1
55,2,11,9,2,11,0,4,1,4386,0,40.0,37,1
24,2,15,10,2,0,5,1,0,0,0,40.0,23,0
43,2,11,9,0,0,1,4,0,0,0,40.0,37,0
26,2,7,12,4,12,1,4,1,0,0,45.0,37,0
46,2,7,12,4,9,1,4,0,0,0,33.0,37,0
35,2,7,12,2,0,0,4,1,0,0,40.0,37,1
41,3,15,10,2,4,0,4,1,0,0,54.0,37,1
26,2,9,13,4,11,1,4,1,0,0,40.0,37,0
34,2,12,14,2,3,0,1,1,7298,0,35.0,34,1
36,4,9,13,0,9,1,2,0,0,0,40.0,37,1
22,2,15,10,4,11,3,4,1,0,0,15.0,37,0
24,2,15,10,4,6,1,4,1,0,0,40.0,37,0
77,4,15,10,2,11,0,4,1,0,0,40.0,37,0
22,2,4,3,2,6,2,4,0,0,0,40.0,24,0
29,2,15,10,4,12,1,4,0,0,0,40.0,37,0
62,2,11,9,6,7,1,4,0,0,0,24.0,37,0
39,4,11,9,2,3,0,4,1,0,0,40.0,37,0
43,2,15,10,2,2,0,4,1,0,1485,50.0,37,0
35,2,11,9,0,13,1,4,1,0,0,45.0,37,0
29,2,1,7,4,3,1,4,0,0,0,40.0,37,0
76,4,12,14,2,2,0,4,1,0,0,10.0,37,0
63,4,11,9,2,4,0,4,1,0,0,45.0,37,0
43,2,15,10,2,9,5,4,0,0,1887,50.0,37,1
58,4,11,9,2,5,0,4,1,0,0,40.0,37,0
66,2,11,9,4,13,1,4,1,2050,0,55.0,37,0
41,2,15,10,4,2,1,2,1,0,0,45.0,37,0
26,2,9,13,4,0,1,4,1,0,0,40.0,37,0
47,2,8,11,4,7,1,4,1,0,0,40.0,37,0
55,1,0,6,2,0,0,4,1,0,0,40.0,37,0
53,2,11,9,2,13,0,4,1,0,0,40.0,37,0
17,2,4,3,4,7,2,4,1,0,0,48.0,24,0
30,2,11,9,4,2,2,4,1,0,0,40.0,37,0
49,2,12,14,4,9,1,4,1,0,0,40.0,37,0
19,2,11,9,4,11,4,2,1,0,0,30.0,13,0
45,2,11,9,2,7,0,2,1,0,0,40.0,37,0
26,2,7,12,4,11,1,4,1,0,0,40.0,37,0
38,2,8,11,2,2,0,4,1,7298,0,40.0,37,1
36,5,11,9,2,10,0,4,1,7298,0,40.0,37,1
33,2,11,9,4,4,1,4,1,0,0,20.0,37,0
22,5,15,10,4,10,3,4,1,0,0,40.0,37,0
43,4,9,13,4,11,1,4,1,0,0,42.0,37,0
56,2,7,12,3,7,1,4,1,0,0,25.0,18,0
31,2,9,13,4,9,3,4,1,0,0,25.0,37,0
33,2,9,13,2,3,0,4,1,0,0,40.0,37,1
26,2,11,9,2,7,0,4,1,0,0,40.0,37,0
33,2,9,13,2,3,0,4,1,0,0,40.0,37,1
46,1,1,7,2,13,0,4,1,0,0,30.0,37,0
38,0,11,9,2,0,0,4,1,0,0,40.0,37,1
65,2,1,7,6,7,4,3,1,0,0,40.0,37,0
40,2,8,11,2,12,0,4,1,0,0,40.0,37,1
42,2,11,9,2,0,5,4,0,0,0,35.0,37,0
26,4,6,5,2,2,0,4,1,0,0,40.0,30,0
36,2,0,6,2,7,5,4,0,0,0,24.0,37,0
62,2,12,14,2,9,0,4,1,0,0,40.0,37,1
43,2,9,13,2,13,0,4,1,0,0,45.0,37,0
43,2,9,13,0,3,1,4,1,0,1564,45.0,37,1
22,2,11,9,3,11,1,4,1,0,0,55.0,37,0
28,2,11,9,2,2,0,4,1,0,0,40.0,37,0
56,4,15,10,2,11,0,4,1,0,0,45.0,37,0
22,2,7,12,4,11,1,4,0,0,0,15.0,37,0
57,2,9,13,0,3,1,4,0,0,0,45.0,37,1
39,2,11,9,0,11,4,4,0,0,0,40.0,37,0
26,0,15,10,4,0,4,4,0,0,0,15.0,37,0
17,2,1,7,4,7,3,4,1,0,0,10.0,37,0
40,5,8,11,2,6,0,4,1,0,0,38.0,37,1
45,2,11,9,2,6,0,2,1,0,0,40.0,37,0
44,2,11,9,4,2,1,2,1,0,0,40.0,37,0
20,1,15,10,4,0,3,4,0,0,0,10.0,37,0
33,2,11,9,2,2,5,4,0,0,0,40.0,37,0
23,2,15,10,4,11,1,4,1,0,0,40.0,37,0
46,4,12,14,0,3,1,4,1,0,0,30.0,37,0
38,2,11,9,2,11,0,4,1,0,0,50.0,37,0
54,2,11,9,0,13,1,4,1,0,0,40.0,37,0
46,2,4,3,0,2,1,4,0,0,2339,45.0,37,0
25,2,15,10,2,2,0,4,1,0,0,40.0,37,0
46,2,15,10,0,11,1,4,0,0,0,40.0,37,0
36,1,15,10,2,13,5,4,0,0,0,40.0,37,0
23,2,11,9,4,7,1,4,0,0,0,25.0,37,0
29,2,11,9,5,6,1,4,1,0,0,40.0,37,0
44,2,15,10,2,0,5,4,0,0,2415,6.0,37,1
19,2,15,10,4,0,3,4,0,0,0,16.0,37,0
19,2,11,9,4,7,2,4,0,0,0,40.0,37,0
35,2,11,9,2,7,5,4,0,0,0,40.0,37,1
27,2,9,13,4,2,1,4,1,0,0,50.0,37,0
46,4,7,12,5,2,1,4,1,0,0,40.0,37,0
34,2,11,9,4,7,1,4,0,0,0,35.0,37,0
44,2,15,10,2,12,0,4,1,0,0,40.0,37,0
45,2,15,10,0,5,4,4,0,0,0,40.0,37,0
25,2,9,13,2,3,0,4,1,0,0,55.0,37,1
52,3,9,13,2,3,0,4,1,0,0,50.0,37,1
20,2,15,10,4,5,3,4,1,0,0,40.0,37,0
28,2,15,10,4,7,1,4,0,0,0,40.0,37,0
50,5,9,13,2,10,0,4,1,0,0,40.0,37,1
34,2,8,11,0,12,1,4,0,0,0,64.0,37,0
28,2,5,4,2,5,0,3,1,0,2179,40.0,31,0
41,2,12,14,2,3,0,4,1,0,1977,65.0,37,1
28,2,11,9,2,0,0,4,1,0,0,40.0,37,0
46,4,11,9,2,2,0,4,1,0,0,25.0,37,0
32,2,15,10,2,3,0,4,1,0,0,50.0,37,0
41,1,15,10,0,7,1,2,0,0,0,24.0,37,0
24,2,11,9,4,5,4,2,0,0,0,40.0,37,0
33,2,15,10,0,3,4,4,0,0,0,40.0,37,0
46,2,10,16,2,3,0,4,1,15024,0,60.0,37,1
31,5,15,10,2,6,0,4,1,0,0,40.0,37,0
35,2,2,8,0,2,1,4,1,0,0,50.0,37,1
52,2,3,2,2,6,0,4,1,0,0,40.0,24,0
30,2,1,7,4,7,3,4,0,0,0,19.0,37,0
34,1,1,7,5,6,1,2,1,0,0,40.0,37,0
34,5,11,9,0,13,4,4,0,0,0,40.0,37,0
20,2,15,10,2,11,0,4,1,0,0,30.0,37,0
17,2,1,7,4,5,3,4,1,2176,0,18.0,37,0
32,5,9,13,2,3,5,4,0,0,0,40.0,37,1
29,2,11,9,0,4,1,4,1,0,0,40.0,37,0
33,2,0,6,4,2,4,4,0,0,0,35.0,37,0
25,2,11,9,2,13,0,4,1,0,0,60.0,37,0
36,0,12,14,4,9,1,4,1,0,1408,40.0,37,0
23,2,11,9,4,5,1,4,1,0,0,72.0,5,0
63,3,11,9,2,3,0,4,1,0,0,40.0,37,1
47,1,12,14,2,9,0,4,1,0,0,40.0,37,0
40,4,9,13,3,9,1,4,0,2174,0,40.0,37,0
30,2,7,12,2,7,5,4,0,0,0,25.0,37,1
27,2,15,10,4,2,3,1,1,0,1980,40.0,28,0
33,2,12,14,2,9,0,4,1,0,0,50.0,37,1
34,1,11,9,4,4,1,4,1,594,0,60.0,37,0
34,1,15,10,4,10,1,4,0,0,0,40.0,37,0
23,2,15,10,2,0,0,4,1,0,0,40.0,37,0
42,1,15,10,2,0,5,4,0,0,0,40.0,37,0
29,2,9,13,4,9,1,4,1,0,0,40.0,37,0
45,2,11,9,0,0,1,4,0,0,0,28.0,37,0
24,0,11,9,4,1,3,4,1,0,0,40.0,37,0
44,2,15,10,2,9,0,4,1,0,0,40.0,37,1
27,2,6,5,4,2,2,4,1,0,0,40.0,24,0
20,2,15,10,4,11,1,4,1,0,0,35.0,37,0
44,2,11,9,6,3,4,2,0,0,0,40.0,37,0
51,2,11,9,2,2,0,0,1,0,0,40.0,37,0
20,2,11,9,2,6,0,4,1,0,0,40.0,37,0
19,2,11,9,4,6,3,2,0,0,0,40.0,37,0
45,3,15,10,2,2,0,4,1,0,0,55.0,37,1
60,2,11,9,2,2,0,4,1,0,0,40.0,37,1
44,4,11,9,2,11,5,4,0,0,0,40.0,37,1
40,2,8,11,2,6,0,1,1,0,0,40.0,37,1
30,2,11,9,2,3,5,4,0,0,0,40.0,37,0
38,2,15,10,2,13,0,2,1,0,0,50.0,37,0
23,2,11,9,2,13,0,4,1,0,0,60.0,37,0
44,2,7,12,4,4,3,4,1,0,0,40.0,37,0
54,1,11,9,2,13,0,2,1,0,0,40.0,37,0
32,2,9,13,2,9,0,4,1,0,0,50.0,37,0
50,2,3,2,3,2,4,4,1,0,0,40.0,37,0
24,2,9,13,4,12,1,4,0,0,0,20.0,37,0
37,2,11,9,2,0,5,4,0,0,0,60.0,37,0
52,2,11,9,0,13,4,4,1,0,0,40.0,37,0
38,2,15,10,2,13,0,4,1,0,0,40.0,37,0
49,2,12,14,2,3,0,4,1,0,1977,45.0,37,1
30,2,9,13,2,12,5,4,0,0,0,16.0,37,1
60,2,15,10,4,9,4,4,1,0,0,40.0,37,1
35,2,11,9,4,2,1,4,1,0,0,40.0,37,0
30,2,11,9,4,13,1,4,1,0,0,60.0,37,0
67,2,8,11,0,7,1,4,1,0,0,24.0,37,0
46,2,9,13,4,2,1,4,0,0,0,40.0,37,0
17,2,6,5,4,7,1,4,1,0,0,6.0,37,0
22,2,15,10,4,5,3,4,1,0,0,30.0,37,0
27,2,0,6,4,7,1,4,1,0,0,40.0,37,0
23,2,11,9,2,7,4,4,0,0,0,35.0,37,0
33,2,7,12,2,2,0,4,1,0,0,45.0,30,0
43,4,15,10,2,2,0,4,1,0,0,20.0,37,0
28,5,9,13,4,9,1,4,1,0,0,20.0,37,0
41,2,11,9,3,2,4,4,0,0,0,40.0,37,0
25,2,15,10,3,0,3,2,0,0,0,20.0,37,0
59,1,11,9,2,13,0,4,1,0,0,45.0,37,0
45,1,9,13,0,9,4,4,0,0,0,40.0,37,0
38,2,9,13,2,11,0,4,1,15024,0,60.0,37,1
40,2,11,9,4,7,1,4,0,0,0,35.0,37,0
46,0,11,9,0,0,1,4,1,0,0,40.0,37,0
35,2,7,12,4,3,1,4,0,0,0,60.0,37,0
34,2,11,9,0,9,4,4,0,0,0,25.0,37,0
33,2,9,13,4,2,3,4,1,0,0,20.0,37,0
41,2,11,9,0,0,4,4,0,0,0,36.0,37,0
20,2,15,10,4,6,3,4,1,0,0,40.0,37,0
23,2,4,3,4,7,3,4,1,0,0,40.0,7,0
